        Deg.          Ve          P1          P2      dmr/dt      dm1/dt      dm2/dt         Cv1         Cv2       P1-P2
           0      17.866       1.025       1.058      -1.976       0.000       0.000       0.000       0.000      -0.033
           1      16.914       1.032       1.065      -1.949       0.074       0.000       0.003       0.000      -0.032
           3      15.982       1.040       1.071      -1.892       0.226       0.000       0.007       0.000      -0.032
           4      15.072       1.048       1.078      -1.803       0.423       0.000       0.012       0.000      -0.030
           5      14.184       1.058       1.086      -1.687       0.654       0.000       0.018       0.000      -0.028
           7      13.319       1.068       1.093      -1.546       0.913       0.000       0.025       0.000      -0.026
           8      12.476       1.078       1.101      -1.387       1.196       0.000       0.033       0.000      -0.023
          10      11.658       1.090       1.110      -1.211       1.499       0.000       0.041       0.000      -0.020
          11      10.863       1.102       1.119      -1.021       1.819       0.000       0.050       0.000      -0.017
          13      10.094       1.115       1.129      -0.821       2.154       0.000       0.059       0.000      -0.014
          14       9.349       1.129       1.139      -0.611       2.500       0.000       0.069       0.000      -0.010
          15       8.631       1.144       1.151      -0.393       2.857       0.000       0.079       0.000      -0.007
          17       7.938       1.160       1.163      -0.169       3.222       0.000       0.089       0.000      -0.003
          18       7.272       1.176       1.175       0.059       3.593       0.000       0.100       0.000       0.001
          20       6.633       1.194       1.189       0.292       3.968       0.000       0.111       0.000       0.005
          21       6.021       1.212       1.203       0.528       4.346       0.000       0.122       0.000       0.009
          23       5.437       1.231       1.218       0.767       4.725       0.000       0.133       0.000       0.013
          24       4.881       1.251       1.234       1.006       5.102       0.000       0.145       0.000       0.017
          26       4.354       1.272       1.251       1.246       5.476       0.000       0.157       0.000       0.021
          27       3.856       1.293       1.269       1.487       5.846       0.000       0.169       0.000       0.025
          28       3.387       1.316       1.287       1.726       6.209       0.000       0.181       0.000       0.029
          30       2.947       1.339       1.306       1.964       6.564       0.000       0.194       0.000       0.033
          31       2.537       1.363       1.326       2.201       6.909       0.000       0.206       0.000       0.037
          33       2.156       1.387       1.347       2.434       7.241       0.000       0.219       0.000       0.041
          34       1.806       1.413       1.368       2.665       7.560       0.000       0.232       0.000       0.044
          36       1.487       1.438       1.390       2.892       7.863       0.000       0.245       0.000       0.048
          37       1.198       1.465       1.413       3.114       8.148       0.000       0.258       0.000       0.052
          39       0.940       1.491       1.436       3.332       8.413       0.000       0.271       0.000       0.056
          40       0.713       1.518       1.459       3.544       8.658       0.000       0.284       0.000       0.059
          41       0.517       1.546       1.483       3.749       8.879       0.000       0.297       0.000       0.062
          43       0.353       1.573       1.508       3.948       9.076       0.000       0.310       0.000       0.066
          44       0.219       1.601       1.532       4.140       9.247       0.000       0.324       0.000       0.069
          46       0.117       1.629       1.557       4.323       9.389       0.000       0.337       0.000       0.072
          47       0.047       1.657       1.582       4.497       9.503       0.000       0.350       0.000       0.075
          49       0.008       1.684       1.606       4.662       9.586       0.000       0.363       0.000       0.078
